kota_normal,produk,7,8,9,10,total
Musi Rawas Utara,Yayle Exypnost 200 ml,39,11,8,6,64
Nabire,Yayle Exypnost 120 ml,0,0,0,2,2
Nabire,Yayle Exypnost 200 ml,0,0,2,0,2
Nagan Raya,Yayle Exypnost 120 ml,67,65,42,54,228
Nagan Raya,Yayle Exypnost 200 ml,81,59,29,52,221
Nagekeo,Yayle Exypnost 120 ml,0,7,0,0,7
Nagekeo,Yayle Exypnost 200 ml,0,3,2,0,5
Natuna,Yayle Exypnost 120 ml,11,6,10,7,34
Natuna,Yayle Exypnost 200 ml,11,5,2,4,22
Ngada,Yayle Exypnost 120 ml,5,2,3,2,12
Ngada,Yayle Exypnost 200 ml,1,0,1,0,2
Nganjuk,Yayle Exypnost 120 ml,235,92,99,70,496
Nganjuk,Yayle Exypnost 200 ml,122,42,43,40,247
Ngawi,Yayle Exypnost 120 ml,188,72,46,37,343
Ngawi,Yayle Exypnost 200 ml,76,48,35,30,189
Nias,Yayle Exypnost 120 ml,1,5,0,0,6
Nias,Yayle Exypnost 200 ml,2,4,0,0,6
Nias Barat,Yayle Exypnost 200 ml,4,2,2,1,9
Nias Barat,Yayle Exypnost 120 ml,4,0,0,4,8
Nias Selatan,Yayle Exypnost 200 ml,11,15,6,6,38
Nias Selatan,Yayle Exypnost 120 ml,5,6,10,5,26
Nias Utara,Yayle Exypnost 120 ml,6,1,5,3,15
Nias Utara,Yayle Exypnost 200 ml,1,0,0,0,1
Nunukan,Yayle Exypnost 200 ml,115,64,42,24,245
Nunukan,Yayle Exypnost 120 ml,65,57,27,28,177
Ogan Ilir,Yayle Exypnost 120 ml,62,9,11,10,92
Ogan Ilir,Yayle Exypnost 200 ml,18,12,3,6,39
Ogan Komering Ilir,Yayle Exypnost 120 ml,165,83,59,23,330
Ogan Komering Ilir,Yayle Exypnost 200 ml,106,39,26,27,198
Ogan Komering Ulu,Yayle Exypnost 120 ml,57,30,26,21,134
Ogan Komering Ulu,Yayle Exypnost 200 ml,44,11,23,4,82
Ogan Komering Ulu Selatan,Yayle Exypnost 120 ml,70,34,25,8,137
Ogan Komering Ulu Selatan,Yayle Exypnost 200 ml,58,13,8,5,84
Ogan Komering Ulu Timur,Yayle Exypnost 120 ml,110,58,32,29,229
Ogan Komering Ulu Timur,Yayle Exypnost 200 ml,70,30,26,14,140
Pacitan,Yayle Exypnost 120 ml,110,39,19,25,193
Pacitan,Yayle Exypnost 200 ml,37,26,15,16,94
Padang,Yayle Exypnost 120 ml,199,101,67,55,422
Padang,Yayle Exypnost 200 ml,204,100,45,53,402
Padang Lawas,Yayle Exypnost 200 ml,82,27,27,12,148
Padang Lawas,Yayle Exypnost 120 ml,65,31,26,17,139
Padang Lawas Utara,Yayle Exypnost 120 ml,28,35,13,8,84
Padang Lawas Utara,Yayle Exypnost 200 ml,26,11,7,9,53
Padang Panjang,Yayle Exypnost 120 ml,5,2,7,2,16
Padang Panjang,Yayle Exypnost 200 ml,5,2,0,4,11
Padang Pariaman,Yayle Exypnost 120 ml,91,41,30,15,177
Padang Pariaman,Yayle Exypnost 200 ml,76,33,20,18,147
Padang Sidempuan,Yayle Exypnost 120 ml,5,5,0,0,10
Padang Sidempuan,Yayle Exypnost 200 ml,4,1,2,0,7
Padang Sidimpuan,Yayle Exypnost 120 ml,18,11,19,15,63
Padang Sidimpuan,Yayle Exypnost 200 ml,24,7,5,3,39
Pagar Alam,Yayle Exypnost 120 ml,13,13,2,4,32
Pagar Alam,Yayle Exypnost 200 ml,14,3,1,1,19
Pahuwato,Yayle Exypnost 120 ml,19,17,11,17,64
Pahuwato,Yayle Exypnost 200 ml,37,8,2,3,50
Pakpak Bharat,Yayle Exypnost 120 ml,3,4,2,4,13
Pakpak Bharat,Yayle Exypnost 200 ml,3,5,4,0,12
Palangkaraya,Yayle Exypnost 120 ml,95,65,42,18,220
Palangkaraya,Yayle Exypnost 200 ml,104,44,29,15,192
Palembang,Yayle Exypnost 120 ml,373,226,123,97,819
Palembang,Yayle Exypnost 200 ml,354,145,87,73,659
Palopo,Yayle Exypnost 120 ml,35,11,3,3,52
Palopo,Yayle Exypnost 200 ml,32,3,4,5,44
Palu,Yayle Exypnost 120 ml,37,18,21,11,87
Palu,Yayle Exypnost 200 ml,50,16,11,6,83
Pamekasan,Yayle Exypnost 120 ml,261,111,78,74,524
Pamekasan,Yayle Exypnost 200 ml,152,88,50,36,326
Pandeglang,Yayle Exypnost 120 ml,349,137,103,101,690
Pandeglang,Yayle Exypnost 200 ml,150,67,65,41,323
Pangandaran,Yayle Exypnost 120 ml,112,45,31,17,205
Pangandaran,Yayle Exypnost 200 ml,31,13,9,9,62
Pangkajene Dan Kepulauan,Yayle Exypnost 120 ml,31,14,7,5,57
Pangkajene Dan Kepulauan,Yayle Exypnost 200 ml,31,9,5,7,52
Pangkajene Kepulauan,Yayle Exypnost 200 ml,20,13,9,5,47
Pangkajene Kepulauan,Yayle Exypnost 120 ml,19,7,7,0,33
Pangkal Pinang,Yayle Exypnost 200 ml,37,9,13,3,62
Pangkal Pinang,Yayle Exypnost 120 ml,18,11,11,8,48
Pangkalpinang,Yayle Exypnost 120 ml,38,19,14,11,82
Pangkalpinang,Yayle Exypnost 200 ml,30,18,5,7,60
Paniai,Yayle Exypnost 120 ml,2,0,0,0,2
Paniai,Yayle Exypnost 200 ml,0,0,0,2,2
Pare Pare,Yayle Exypnost 200 ml,22,11,1,0,34
Pare Pare,Yayle Exypnost 120 ml,12,8,7,2,29
Parepare,Yayle Exypnost 200 ml,23,3,1,0,27
Parepare,Yayle Exypnost 120 ml,13,3,3,3,22
Pariaman,Yayle Exypnost 120 ml,17,8,3,0,28
Pariaman,Yayle Exypnost 200 ml,5,2,2,4,13
Parigi Moutong,Yayle Exypnost 120 ml,56,24,22,19,121
Parigi Moutong,Yayle Exypnost 200 ml,56,24,7,28,115
Pasaman,Yayle Exypnost 120 ml,16,16,9,13,54
Pasaman,Yayle Exypnost 200 ml,25,5,8,5,43
Pasaman Barat,Yayle Exypnost 120 ml,66,50,60,44,220
Pasaman Barat,Yayle Exypnost 200 ml,81,38,32,36,187
Pasangkayu,Yayle Exypnost 120 ml,25,25,22,6,78
Pasangkayu,Yayle Exypnost 200 ml,22,13,5,4,44
Paser,Yayle Exypnost 200 ml,94,22,24,7,147
Paser,Yayle Exypnost 120 ml,53,21,30,14,118
Pasuruan,Yayle Exypnost 120 ml,429,200,137,118,884
Pasuruan,Yayle Exypnost 200 ml,193,86,48,51,378
Pati,Yayle Exypnost 120 ml,441,265,169,115,990
Pati,Yayle Exypnost 200 ml,189,97,53,67,406
Payakumbuh,Yayle Exypnost 120 ml,8,6,9,7,30
Payakumbuh,Yayle Exypnost 200 ml,3,2,3,2,10
Pegunungan Bintang,Yayle Exypnost 200 ml,2,0,0,0,2
Pekalongan,Yayle Exypnost 120 ml,181,103,68,54,406
Pekalongan,Yayle Exypnost 200 ml,56,46,25,24,151
Pekanbaru,Yayle Exypnost 200 ml,310,131,84,83,608
Pekanbaru,Yayle Exypnost 120 ml,279,156,98,59,592
Pelalawan,Yayle Exypnost 120 ml,171,103,79,32,385
Pelalawan,Yayle Exypnost 200 ml,130,44,43,42,259
Pemalang,Yayle Exypnost 120 ml,351,231,178,139,899
Pemalang,Yayle Exypnost 200 ml,159,92,70,67,388
Pematang Siantar,Yayle Exypnost 120 ml,6,0,0,0,6
Pematang Siantar,Yayle Exypnost 200 ml,4,0,2,0,6
Pematangsiantar,Yayle Exypnost 200 ml,25,5,7,6,43
Pematangsiantar,Yayle Exypnost 120 ml,10,6,4,7,27
Penajam Paser Utara,Yayle Exypnost 200 ml,44,15,1,9,69
Penajam Paser Utara,Yayle Exypnost 120 ml,31,14,3,3,51
Penukal Abab Lematang Ilir,Yayle Exypnost 120 ml,21,4,14,6,45
Penukal Abab Lematang Ilir,Yayle Exypnost 200 ml,17,8,2,11,38
Pesawaran,Yayle Exypnost 120 ml,59,32,25,16,132
Pesawaran,Yayle Exypnost 200 ml,47,12,25,16,100
Pesisir Barat,Yayle Exypnost 120 ml,21,6,19,7,53
Pesisir Barat,Yayle Exypnost 200 ml,17,6,2,3,28
Pesisir Selatan,Yayle Exypnost 120 ml,73,53,29,43,198
Pesisir Selatan,Yayle Exypnost 200 ml,70,33,23,36,162
Pidie,Yayle Exypnost 120 ml,140,89,52,58,339
Pidie,Yayle Exypnost 200 ml,141,33,43,48,265
Pidie Jaya,Yayle Exypnost 120 ml,46,45,27,24,142
Pidie Jaya,Yayle Exypnost 200 ml,54,23,19,36,132
Pinrang,Yayle Exypnost 120 ml,68,29,26,24,147
Pinrang,Yayle Exypnost 200 ml,67,37,23,15,142
Pohuwato,Yayle Exypnost 200 ml,19,2,4,1,26
Pohuwato,Yayle Exypnost 120 ml,13,9,1,2,25
Polewali Mandar,Yayle Exypnost 120 ml,58,30,25,21,134
Polewali Mandar,Yayle Exypnost 200 ml,48,22,14,11,95
Ponorogo,Yayle Exypnost 120 ml,151,58,61,36,306
Ponorogo,Yayle Exypnost 200 ml,61,38,29,24,152
Pontianak,Yayle Exypnost 200 ml,160,60,48,32,300
Pontianak,Yayle Exypnost 120 ml,136,93,30,18,277
Poso,Yayle Exypnost 120 ml,25,15,12,5,57
Poso,Yayle Exypnost 200 ml,30,6,3,11,50
Prabumulih,Yayle Exypnost 120 ml,30,18,7,10,65
Prabumulih,Yayle Exypnost 200 ml,32,6,11,7,56
Pringsewu,Yayle Exypnost 120 ml,49,27,6,14,96
Pringsewu,Yayle Exypnost 200 ml,43,8,9,13,73
Probolinggo,Yayle Exypnost 120 ml,260,103,66,52,481
Probolinggo,Yayle Exypnost 200 ml,151,50,34,36,271
Pulang Pisau,Yayle Exypnost 120 ml,20,11,9,9,49
Pulang Pisau,Yayle Exypnost 200 ml,21,17,6,3,47
Pulau Alor,Yayle Exypnost 120 ml,0,1,3,0,4
Pulau Alor,Yayle Exypnost 200 ml,1,0,0,2,3
Pulau Bangka,Yayle Exypnost 120 ml,31,14,10,5,60
Pulau Bangka,Yayle Exypnost 200 ml,31,11,7,6,55
Pulau Belitung,Yayle Exypnost 120 ml,23,10,6,1,40
Pulau Belitung,Yayle Exypnost 200 ml,13,3,6,2,24
Pulau Bintan,Yayle Exypnost 200 ml,5,12,0,2,19
Pulau Bintan,Yayle Exypnost 120 ml,10,3,0,0,13
Pulau Buton,Yayle Exypnost 120 ml,4,2,2,1,9
Pulau Buton,Yayle Exypnost 200 ml,0,0,0,3,3
Pulau Karimunbesar,Yayle Exypnost 200 ml,20,5,0,0,25
Pulau Karimunbesar,Yayle Exypnost 120 ml,8,4,3,0,15
Pulau Morotai,Yayle Exypnost 120 ml,0,3,5,0,8
Pulau Muna,Yayle Exypnost 120 ml,5,0,4,1,10
Pulau Muna,Yayle Exypnost 200 ml,6,0,1,0,7
Pulau Nias,Yayle Exypnost 120 ml,2,0,0,0,2
Pulau Nias,Yayle Exypnost 200 ml,1,0,0,0,1
Pulau Selayar,Yayle Exypnost 120 ml,8,2,0,0,10
Pulau Selayar,Yayle Exypnost 200 ml,5,0,0,0,5
Pulau Sumbawa,Yayle Exypnost 200 ml,29,8,5,6,48
Pulau Sumbawa,Yayle Exypnost 120 ml,16,7,5,3,31
Pulau Taliabu,Yayle Exypnost 120 ml,0,0,1,2,3
Pulau Tidore,Yayle Exypnost 200 ml,0,0,2,0,2
Puncak Jaya,Yayle Exypnost 120 ml,0,2,0,3,5
Puncak Jaya,Yayle Exypnost 200 ml,2,0,0,0,2
Purbalingga,Yayle Exypnost 120 ml,262,116,80,74,532
Purbalingga,Yayle Exypnost 200 ml,109,42,45,25,221
Purwakarta,Yayle Exypnost 120 ml,408,188,137,113,846
Purwakarta,Yayle Exypnost 200 ml,178,91,59,63,391
Purworejo,Yayle Exypnost 120 ml,111,56,63,28,258
Purworejo,Yayle Exypnost 200 ml,51,25,15,14,105
Raja Ampat,Yayle Exypnost 200 ml,4,0,0,2,6
Raja Ampat,Yayle Exypnost 120 ml,0,2,1,1,4
Rejang Lebong,Yayle Exypnost 120 ml,42,9,12,14,77
Rejang Lebong,Yayle Exypnost 200 ml,27,8,5,8,48
Rembang,Yayle Exypnost 120 ml,170,88,92,64,414
Rembang,Yayle Exypnost 200 ml,51,37,25,20,133
Rokan Hilir,Yayle Exypnost 120 ml,205,142,99,102,548
Rokan Hilir,Yayle Exypnost 200 ml,215,62,46,61,384
Rokan Hulu,Yayle Exypnost 120 ml,295,152,128,103,678
Rokan Hulu,Yayle Exypnost 200 ml,320,76,69,73,538
Rote Ndao,Yayle Exypnost 120 ml,4,1,9,0,14
Rote Ndao,Yayle Exypnost 200 ml,2,7,0,0,9
Sabang,Yayle Exypnost 120 ml,23,16,8,9,56
Sabang,Yayle Exypnost 200 ml,12,9,11,2,34
Sabu Raijua,Yayle Exypnost 120 ml,0,3,5,1,9
Salatiga,Yayle Exypnost 120 ml,13,9,9,7,38
Salatiga,Yayle Exypnost 200 ml,6,7,3,2,18
Samarinda,Yayle Exypnost 200 ml,113,29,28,24,194
Samarinda,Yayle Exypnost 120 ml,71,29,21,13,134
Sambas,Yayle Exypnost 120 ml,69,51,36,21,177
Sambas,Yayle Exypnost 200 ml,86,25,16,15,142
Samosir,Yayle Exypnost 120 ml,12,17,44,2,75
Samosir,Yayle Exypnost 200 ml,17,11,11,2,41
Sampang,Yayle Exypnost 120 ml,203,108,76,65,452
Sampang,Yayle Exypnost 200 ml,128,54,49,46,277
Sanggau,Yayle Exypnost 120 ml,102,61,49,43,255
Sanggau,Yayle Exypnost 200 ml,106,30,23,24,183
Sarmi,Yayle Exypnost 120 ml,6,0,1,2,9
Sarmi,Yayle Exypnost 200 ml,4,2,2,0,8
Sarolangun,Yayle Exypnost 120 ml,64,46,32,22,164
Sarolangun,Yayle Exypnost 200 ml,65,24,12,17,118
Sawahlunto,Yayle Exypnost 200 ml,6,1,0,0,7
Sawahlunto,Yayle Exypnost 120 ml,3,1,1,0,5
Sekadau,Yayle Exypnost 120 ml,56,31,22,10,119
Sekadau,Yayle Exypnost 200 ml,62,16,15,6,99
Selayar Island,Yayle Exypnost 120 ml,0,1,0,0,1
Seluma,Yayle Exypnost 120 ml,22,7,3,5,37
Seluma,Yayle Exypnost 200 ml,11,7,2,3,23
Semarang,Yayle Exypnost 120 ml,233,132,81,73,519
Semarang,Yayle Exypnost 200 ml,99,58,57,35,249
Seram Bagian Barat,Yayle Exypnost 200 ml,2,0,0,6,8
Seram Bagian Barat,Yayle Exypnost 120 ml,2,1,4,0,7
Seram Bagian Timur,Yayle Exypnost 120 ml,8,0,0,0,8
Seram Bagian Timur,Yayle Exypnost 200 ml,2,0,0,0,2
Serang,Yayle Exypnost 120 ml,615,317,199,196,1327
Serang,Yayle Exypnost 200 ml,272,186,121,79,658
Serdang Bedagai,Yayle Exypnost 120 ml,95,78,76,45,294
Serdang Bedagai,Yayle Exypnost 200 ml,78,29,21,29,157
Seruyan,Yayle Exypnost 200 ml,55,15,20,13,103
Seruyan,Yayle Exypnost 120 ml,49,15,24,9,97
Siak,Yayle Exypnost 120 ml,201,117,74,65,457
Siak,Yayle Exypnost 200 ml,160,52,30,44,286
Siau Tagulandang Biaro,Yayle Exypnost 120 ml,2,2,0,0,4
Siau Tagulandang Biaro,Yayle Exypnost 200 ml,1,0,0,0,1
Sibolga,Yayle Exypnost 200 ml,19,7,3,2,31
Sibolga,Yayle Exypnost 120 ml,8,12,5,4,29
Sidenreng Rappang,Yayle Exypnost 200 ml,131,38,25,24,218
Sidenreng Rappang,Yayle Exypnost 120 ml,82,46,30,16,174
Sidoarjo,Yayle Exypnost 120 ml,753,362,261,236,1612
Sidoarjo,Yayle Exypnost 200 ml,351,228,134,104,817
Sigi,Yayle Exypnost 120 ml,14,7,2,4,27
Sigi,Yayle Exypnost 200 ml,10,6,0,2,18
Sijunjung,Yayle Exypnost 120 ml,37,31,15,8,91
Sijunjung,Yayle Exypnost 200 ml,38,17,9,11,75
Sikka,Yayle Exypnost 120 ml,4,4,9,2,19
Sikka,Yayle Exypnost 200 ml,5,0,0,4,9
Simalungun,Yayle Exypnost 120 ml,133,69,55,39,296
Simalungun,Yayle Exypnost 200 ml,110,40,15,30,195
Simeulue,Yayle Exypnost 200 ml,29,0,3,11,43
Simeulue,Yayle Exypnost 120 ml,5,8,8,6,27
Singkawang,Yayle Exypnost 120 ml,38,11,8,2,59
Singkawang,Yayle Exypnost 200 ml,32,5,4,5,46
Sinjai,Yayle Exypnost 120 ml,20,22,12,8,62
Sinjai,Yayle Exypnost 200 ml,25,3,5,1,34
Sintang,Yayle Exypnost 120 ml,137,96,71,42,346
Sintang,Yayle Exypnost 200 ml,165,55,47,28,295
Situbondo,Yayle Exypnost 120 ml,172,70,53,38,333
Situbondo,Yayle Exypnost 200 ml,64,30,17,33,144
Sleman,Yayle Exypnost 120 ml,152,91,75,144,462
Sleman,Yayle Exypnost 200 ml,102,52,33,43,230
Solok,Yayle Exypnost 120 ml,72,49,26,32,179
Solok,Yayle Exypnost 200 ml,64,24,9,10,107
Solok Selatan,Yayle Exypnost 120 ml,37,20,13,8,78
Solok Selatan,Yayle Exypnost 200 ml,36,21,3,13,73
Soppeng,Yayle Exypnost 200 ml,55,15,16,8,94
Soppeng,Yayle Exypnost 120 ml,30,21,21,18,90
Sorong,Yayle Exypnost 120 ml,5,5,3,0,13
Sorong,Yayle Exypnost 200 ml,4,0,0,2,6
Sragen,Yayle Exypnost 120 ml,195,106,79,65,445
Sragen,Yayle Exypnost 200 ml,82,42,35,37,196
Subang,Yayle Exypnost 120 ml,624,247,202,169,1242
Subang,Yayle Exypnost 200 ml,261,130,87,66,544
Subulussalam,Yayle Exypnost 120 ml,10,2,2,2,16
Subulussalam,Yayle Exypnost 200 ml,2,2,2,3,9
Sukabumi,Yayle Exypnost 120 ml,809,283,221,176,1489
Sukabumi,Yayle Exypnost 200 ml,315,199,115,77,706
Sukamara,Yayle Exypnost 120 ml,46,26,11,3,86
Sukamara,Yayle Exypnost 200 ml,37,26,11,7,81
Sukoharjo,Yayle Exypnost 120 ml,180,86,49,60,375
Sukoharjo,Yayle Exypnost 200 ml,68,32,42,22,164
Sumba Barat,Yayle Exypnost 120 ml,2,2,0,0,4
Sumba Barat,Yayle Exypnost 200 ml,0,0,1,2,3
Sumba Barat Daya,Yayle Exypnost 120 ml,2,6,0,1,9
Sumba Barat Daya,Yayle Exypnost 200 ml,3,2,0,0,5
Sumba Timur,Yayle Exypnost 120 ml,13,0,5,4,22
Sumba Timur,Yayle Exypnost 200 ml,9,2,1,0,12
Sumbawa,Yayle Exypnost 120 ml,80,49,24,14,167
Sumbawa,Yayle Exypnost 200 ml,46,26,26,19,117
Sumbawa Barat,Yayle Exypnost 120 ml,45,12,13,8,78
Sumbawa Barat,Yayle Exypnost 200 ml,28,14,17,9,68
Sumedang,Yayle Exypnost 120 ml,283,96,103,79,561
Sumedang,Yayle Exypnost 200 ml,109,59,37,29,234
Sumenep,Yayle Exypnost 120 ml,282,112,82,71,547
Sumenep,Yayle Exypnost 200 ml,163,76,45,31,315
Sungai Kapuas,Yayle Exypnost 200 ml,5,8,3,3,19
Sungai Kapuas,Yayle Exypnost 120 ml,4,5,0,0,9
Sungai Penuh,Yayle Exypnost 120 ml,3,3,6,2,14
Sungai Penuh,Yayle Exypnost 200 ml,9,1,3,0,13
Supiori,Yayle Exypnost 200 ml,2,0,0,0,2
Surabaya,Yayle Exypnost 120 ml,494,285,178,160,1117
Surabaya,Yayle Exypnost 200 ml,325,135,115,95,670
Surakarta,Yayle Exypnost 120 ml,34,20,14,14,82
Surakarta,Yayle Exypnost 200 ml,16,3,6,1,26
Tabalong,Yayle Exypnost 120 ml,56,24,9,8,97
Tabalong,Yayle Exypnost 200 ml,53,15,12,12,92
Tabanan,Yayle Exypnost 120 ml,82,37,33,29,181
Tabanan,Yayle Exypnost 200 ml,50,16,17,21,104
Takalar,Yayle Exypnost 120 ml,31,22,23,11,87
Takalar,Yayle Exypnost 200 ml,38,6,7,10,61
Tana Tidung,Yayle Exypnost 200 ml,13,8,5,8,34
Tana Tidung,Yayle Exypnost 120 ml,7,4,5,3,19
Tana Toraja,Yayle Exypnost 200 ml,18,2,6,4,30
Tana Toraja,Yayle Exypnost 120 ml,13,4,3,5,25
Tanah Bumbu,Yayle Exypnost 120 ml,130,56,48,28,262
Tanah Bumbu,Yayle Exypnost 200 ml,111,51,36,24,222
Tanah Datar,Yayle Exypnost 200 ml,55,38,18,21,132
Tanah Datar,Yayle Exypnost 120 ml,52,21,19,18,110
Tanah Laut,Yayle Exypnost 120 ml,83,25,17,22,147
Tanah Laut,Yayle Exypnost 200 ml,100,22,16,8,146
Tangerang,Yayle Exypnost 120 ml,1793,981,674,589,4037
Tangerang,Yayle Exypnost 200 ml,727,480,384,256,1847
Tangerang Selatan,Yayle Exypnost 120 ml,168,95,62,61,386
Tangerang Selatan,Yayle Exypnost 200 ml,67,50,22,24,163
Tanggamus,Yayle Exypnost 120 ml,75,43,18,18,154
Tanggamus,Yayle Exypnost 200 ml,60,22,15,9,106
Tanjung Balai,Yayle Exypnost 200 ml,22,8,6,8,44
Tanjung Balai,Yayle Exypnost 120 ml,25,8,3,7,43
Tanjung Jabung Barat,Yayle Exypnost 120 ml,79,43,41,29,192
Tanjung Jabung Barat,Yayle Exypnost 200 ml,75,18,18,24,135
Tanjung Jabung Timur,Yayle Exypnost 120 ml,43,29,15,13,100
Tanjung Jabung Timur,Yayle Exypnost 200 ml,55,20,13,8,96
Tanjung Pinang,Yayle Exypnost 120 ml,1,2,0,1,4
Tanjung Pinang,Yayle Exypnost 200 ml,2,0,0,0,2
Tanjungpinang,Yayle Exypnost 120 ml,43,35,33,13,124
Tanjungpinang,Yayle Exypnost 200 ml,47,45,19,13,124
Tapanuli Selatan,Yayle Exypnost 200 ml,20,10,19,14,63
Tapanuli Selatan,Yayle Exypnost 120 ml,20,23,8,9,60
Tapanuli Tengah,Yayle Exypnost 120 ml,39,33,12,13,97
Tapanuli Tengah,Yayle Exypnost 200 ml,43,13,8,10,74
Tapanuli Utara,Yayle Exypnost 120 ml,28,9,22,10,69
Tapanuli Utara,Yayle Exypnost 200 ml,22,2,10,5,39
Tapin,Yayle Exypnost 120 ml,51,23,13,11,98
Tapin,Yayle Exypnost 200 ml,38,6,3,3,50
Tarakan,Yayle Exypnost 200 ml,54,44,22,21,141
Tarakan,Yayle Exypnost 120 ml,59,20,18,16,113
Tasikmalaya,Yayle Exypnost 120 ml,337,149,94,87,667
Tasikmalaya,Yayle Exypnost 200 ml,140,57,53,35,285
Tebing Tinggi,Yayle Exypnost 120 ml,12,8,7,11,38
Tebing Tinggi,Yayle Exypnost 200 ml,14,4,4,2,24
Tebo,Yayle Exypnost 120 ml,112,53,34,36,235
Tebo,Yayle Exypnost 200 ml,97,25,12,11,145
Tegal,Yayle Exypnost 120 ml,409,209,167,138,923
Tegal,Yayle Exypnost 200 ml,174,92,84,71,421
Teluk Bintuni,Yayle Exypnost 120 ml,0,6,2,3,11
Teluk Bintuni,Yayle Exypnost 200 ml,4,4,0,0,8
Teluk Wondama,Yayle Exypnost 200 ml,2,0,0,0,2
Temanggung,Yayle Exypnost 120 ml,103,55,30,25,213
Temanggung,Yayle Exypnost 200 ml,43,28,19,17,107
Ternate,Yayle Exypnost 200 ml,56,34,19,10,119
Ternate,Yayle Exypnost 120 ml,27,29,10,16,82
Tidore Islands,Yayle Exypnost 200 ml,2,2,0,0,4
Tidore Kepulauan,Yayle Exypnost 120 ml,2,2,0,0,4
Tidore Kepulauan,Yayle Exypnost 200 ml,1,0,2,0,3
Timor Tengah Selatan,Yayle Exypnost 120 ml,9,10,7,1,27
Timor Tengah Selatan,Yayle Exypnost 200 ml,10,3,1,1,15
Timor Tengah Utara,Yayle Exypnost 120 ml,7,2,2,0,11
Timor Tengah Utara,Yayle Exypnost 200 ml,4,2,0,0,6
Toba Samosir,Yayle Exypnost 120 ml,28,19,22,13,82
Toba Samosir,Yayle Exypnost 200 ml,26,5,6,8,45
Tojo Una Una,Yayle Exypnost 120 ml,10,15,9,6,40
Tojo Una Una,Yayle Exypnost 200 ml,24,3,8,4,39
Tojo Unauna,Yayle Exypnost 200 ml,23,6,3,7,39
Tojo Unauna,Yayle Exypnost 120 ml,10,5,0,9,24
Toli Toli,Yayle Exypnost 120 ml,9,12,2,3,26
Toli Toli,Yayle Exypnost 200 ml,8,7,1,4,20
Tolikara,Yayle Exypnost 200 ml,2,0,3,0,5
Tolikara,Yayle Exypnost 120 ml,1,0,0,0,1
Tolitoli,Yayle Exypnost 200 ml,11,3,6,3,23
Tolitoli,Yayle Exypnost 120 ml,9,6,2,4,21
Tomohon,Yayle Exypnost 200 ml,3,8,0,0,11
Tomohon,Yayle Exypnost 120 ml,2,1,2,0,5
Toraja Utara,Yayle Exypnost 200 ml,36,10,1,5,52
Toraja Utara,Yayle Exypnost 120 ml,15,12,5,4,36
Trenggalek,Yayle Exypnost 120 ml,182,88,53,55,378
Trenggalek,Yayle Exypnost 200 ml,48,51,20,20,139
Tual,Yayle Exypnost 200 ml,2,0,0,0,2
Tuban,Yayle Exypnost 120 ml,314,154,124,74,666
Tuban,Yayle Exypnost 200 ml,126,73,50,42,291
Tulang Bawang,Yayle Exypnost 120 ml,33,30,27,10,100
Tulang Bawang,Yayle Exypnost 200 ml,43,10,11,14,78
Tulang Bawang Barat,Yayle Exypnost 120 ml,26,15,10,12,63
Tulang Bawang Barat,Yayle Exypnost 200 ml,33,5,2,1,41
Tulangbawang,Yayle Exypnost 120 ml,21,8,7,4,40
Tulangbawang,Yayle Exypnost 200 ml,15,1,2,5,23
Tulungagung,Yayle Exypnost 120 ml,208,106,94,71,479
Tulungagung,Yayle Exypnost 200 ml,121,59,55,35,270
Wajo,Yayle Exypnost 120 ml,56,29,22,12,119
Wajo,Yayle Exypnost 200 ml,69,21,10,11,111
Wakatobi,Yayle Exypnost 120 ml,8,14,16,7,45
Wakatobi,Yayle Exypnost 200 ml,19,3,0,2,24
Waropen,Yayle Exypnost 120 ml,0,3,0,0,3
Way Kanan,Yayle Exypnost 120 ml,66,34,21,27,148
Way Kanan,Yayle Exypnost 200 ml,41,21,19,8,89
Wonogiri,Yayle Exypnost 120 ml,184,104,84,60,432
Wonogiri,Yayle Exypnost 200 ml,48,41,37,30,156
Wonosobo,Yayle Exypnost 120 ml,118,48,56,40,262
Wonosobo,Yayle Exypnost 200 ml,54,36,20,21,131
Yahukimo,Yayle Exypnost 200 ml,0,2,0,0,2
Yahukimo,Yayle Exypnost 120 ml,0,1,0,0,1
Yogyakarta,Yayle Exypnost 120 ml,18,13,6,8,45
Yogyakarta,Yayle Exypnost 200 ml,16,8,4,3,31
